ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1769062500,90037.82,90086.00,89984.40,90004.63,46.7428,0.00001722,0.00005000,0.5000,0.000000,1000000
1769063400,90004.63,90199.00,89998.57,90157.99,78.7089,0.00001722,0.00005000,0.5000,0.000000,1000000
1769064300,90158.00,90215.79,90150.89,90172.11,62.9345,0.00001722,0.00005000,0.5000,0.000000,1000000
1769065200,90172.12,90196.99,90053.19,90062.21,70.6906,0.00001722,0.00005000,0.5000,0.000000,1000000
1769066100,90062.20,90086.06,89930.00,89971.71,71.7954,0.00001722,0.00005000,0.5000,0.000000,1000000
1769067000,89971.72,89983.27,89900.05,89943.22,149.3759,0.00001722,0.00005000,0.5000,0.000000,1000000
1769067900,89943.22,89956.84,89802.00,89818.79,119.0860,0.00001722,0.00005000,0.5000,0.000000,1000000
1769068800,89818.79,89968.28,89770.00,89770.01,76.3256,0.00001722,0.00005000,0.5000,0.000000,1000000
1769069700,89770.00,89939.49,89760.00,89876.05,49.0768,0.00001722,0.00005000,0.5000,0.000000,1000000
1769070600,89876.05,89900.00,89777.41,89821.16,72.1371,0.00001722,0.00005000,0.5000,0.000000,1000000
1769071500,89821.16,89959.77,89802.76,89920.16,43.9698,0.00001722,0.00005000,0.5000,0.000000,1000000
1769072400,89920.16,90060.00,89883.80,90043.69,62.4770,0.00001722,0.00005000,0.5000,0.000000,1000000
1769073300,90043.70,90073.85,89954.85,89993.25,62.1059,0.00001722,0.00005000,0.5000,0.000000,1000000
1769074200,89993.24,90113.43,89950.33,90103.24,68.9528,0.00001722,0.00005000,0.5000,0.000000,1000000
1769075100,90103.24,90113.00,90020.38,90033.02,41.8611,0.00001722,0.00005000,0.5000,0.000000,1000000
1769076000,90033.02,90049.99,89960.00,90031.11,54.6065,0.00001722,0.00005000,0.5000,0.000000,1000000
1769076900,90031.11,90099.13,89980.00,90029.37,137.3661,0.00001722,0.00005000,0.5000,0.000000,1000000
1769077800,90029.37,90066.62,90011.17,90058.50,57.2714,0.00001722,0.00005000,0.5000,0.000000,1000000
1769078700,90058.49,90101.83,90020.37,90078.77,58.5143,0.00001722,0.00005000,0.5000,0.000000,1000000
1769079600,90078.76,90150.00,89940.02,89987.17,84.9642,0.00001722,0.00005000,0.5000,0.000000,1000000
1769080500,89987.17,90027.35,89911.99,89952.81,71.2911,0.00001722,0.00005000,0.5000,0.000000,1000000
1769081400,89952.81,90027.66,89897.87,89983.47,101.5994,0.00001722,0.00005000,0.5000,0.000000,1000000
1769082300,89983.47,90080.57,89909.51,89941.26,83.3872,0.00001722,0.00005000,0.5000,0.000000,1000000
1769083200,89941.26,90049.70,89873.09,90008.46,113.0579,0.00001722,0.00005000,0.5000,0.000000,1000000
1769084100,90008.46,90044.16,89988.00,90020.02,50.2247,0.00001722,0.00005000,0.5000,0.000000,1000000
1769085000,90020.02,90099.99,89989.34,90037.83,46.5317,0.00001722,0.00005000,0.5000,0.000000,1000000
1769085900,90037.82,90054.29,89988.30,90021.09,40.6049,0.00001722,0.00005000,0.5000,0.000000,1000000
1769086800,90021.09,90053.12,90000.00,90053.07,39.9723,0.00001722,0.00005000,0.5000,0.000000,1000000
1769087700,90053.08,90200.00,90053.03,90197.16,113.1086,0.00001722,0.00005000,0.5000,0.000000,1000000
1769088600,90197.17,90340.00,89553.34,89622.76,421.7451,0.00001722,0.00005000,0.5000,0.000000,1000000
1769089500,89622.76,89733.84,89478.92,89619.81,226.1582,0.00001722,0.00005000,0.5000,0.000000,1000000
1769090400,89619.81,89702.85,89415.62,89702.84,184.5295,0.00001722,0.00005000,0.5000,0.000000,1000000
1769091300,89702.85,89702.85,89361.31,89574.08,149.4782,0.00001722,0.00005000,0.5000,0.000000,1000000
1769092200,89574.09,89742.67,89146.90,89486.10,422.1965,0.00001722,0.00005000,0.5000,0.000000,1000000
1769093100,89486.11,89511.63,89039.78,89088.59,375.8323,0.00001722,0.00005000,0.5000,0.000000,1000000
1769094000,89088.60,89383.15,89007.51,89258.84,258.2525,0.00001722,0.00005000,0.5000,0.000000,1000000
1769094900,89258.84,89369.77,88620.75,88658.05,470.5847,0.00001722,0.00005000,0.5000,0.000000,1000000
1769095800,88658.05,89180.49,88515.37,89150.07,381.5622,0.00001722,0.00005000,0.5000,0.000000,1000000
