ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1766365200,88622.40,89279.31,88516.00,88626.31,593.8587,0.00001722,0.00005000,0.5000,0.000000,1000000
1766368800,88626.31,88658.22,87900.00,88458.27,639.0282,0.00001722,0.00005000,0.5000,0.000000,1000000
1766372400,88458.27,88850.00,88283.40,88774.12,277.2875,0.00001722,0.00005000,0.5000,0.000000,1000000
1766376000,88774.13,89034.44,88712.11,88904.99,316.7871,0.00001722,0.00005000,0.5000,0.000000,1000000
1766379600,88905.00,89000.00,88762.43,88831.34,260.1837,0.00001722,0.00005000,0.5000,0.000000,1000000
1766383200,88831.34,89008.00,88730.07,88909.26,222.6097,0.00001722,0.00005000,0.5000,0.000000,1000000
1766386800,88909.26,89200.00,88891.63,89170.10,491.1229,0.00001722,0.00005000,0.5000,0.000000,1000000
1766390400,89170.10,89908.71,89093.44,89334.20,921.7395,0.00001722,0.00005000,0.5000,0.000000,1000000
1766394000,89334.21,89836.89,89301.00,89829.60,441.5953,0.00001722,0.00005000,0.5000,0.000000,1000000
1766397600,89829.60,89868.00,89615.38,89778.94,435.9153,0.00001722,0.00005000,0.5000,0.000000,1000000
1766401200,89778.95,90118.00,89656.38,89945.43,823.6519,0.00001722,0.00005000,0.5000,0.000000,1000000
1766404800,89945.43,90588.23,89866.00,90208.48,1081.3002,0.00001722,0.00005000,0.5000,0.000000,1000000
1766408400,90208.49,90319.98,89731.72,89912.37,614.8738,0.00001722,0.00005000,0.5000,0.000000,1000000
1766412000,89912.38,90293.28,89440.50,90126.43,1047.8545,0.00001722,0.00005000,0.5000,0.000000,1000000
1766415600,90126.44,90454.74,89196.42,89726.92,1198.6937,0.00001722,0.00005000,0.5000,0.000000,1000000
1766419200,89726.93,90127.00,89523.22,89550.00,654.1288,0.00001722,0.00005000,0.5000,0.000000,1000000
1766422800,89550.01,89579.81,89092.09,89308.92,588.6892,0.00001722,0.00005000,0.5000,0.000000,1000000
1766426400,89308.91,89523.23,89140.00,89150.04,385.9527,0.00001722,0.00005000,0.5000,0.000000,1000000
1766430000,89150.04,89150.04,87965.76,88052.43,980.7786,0.00001722,0.00005000,0.5000,0.000000,1000000
1766433600,88052.42,88486.12,87911.79,88351.03,544.4494,0.00001722,0.00005000,0.5000,0.000000,1000000
1766437200,88351.03,88619.13,88235.09,88275.06,405.0364,0.00001722,0.00005000,0.5000,0.000000,1000000
1766440800,88275.05,88833.33,88150.00,88660.07,389.0858,0.00001722,0.00005000,0.5000,0.000000,1000000
1766444400,88660.07,88700.00,88430.43,88620.79,248.7914,0.00001722,0.00005000,0.5000,0.000000,1000000
1766448000,88620.79,88940.00,88504.78,88770.47,270.1369,0.00001722,0.00005000,0.5000,0.000000,1000000
1766451600,88770.47,88889.76,88430.00,88513.71,241.8929,0.00001722,0.00005000,0.5000,0.000000,1000000
1766455200,88513.72,88755.24,88091.21,88206.80,579.8197,0.00001722,0.00005000,0.5000,0.000000,1000000
1766458800,88206.80,88355.56,87800.00,88170.00,413.8555,0.00001722,0.00005000,0.5000,0.000000,1000000
1766462400,88170.00,88368.10,87930.99,87930.99,308.9104,0.00001722,0.00005000,0.5000,0.000000,1000000
1766466000,87931.00,88025.71,87614.79,87765.01,482.9848,0.00001722,0.00005000,0.5000,0.000000,1000000
1766469600,87765.01,87780.00,87051.52,87400.01,787.3330,0.00001722,0.00005000,0.5000,0.000000,1000000
1766473200,87400.01,87698.82,87373.22,87574.79,417.2025,0.00001722,0.00005000,0.5000,0.000000,1000000
1766476800,87574.78,87699.99,87433.20,87477.15,347.8234,0.00001722,0.00005000,0.5000,0.000000,1000000
1766480400,87477.14,87630.76,87297.69,87531.85,429.4849,0.00001722,0.00005000,0.5000,0.000000,1000000
1766484000,87531.85,87659.90,87510.60,87615.93,241.3052,0.00001722,0.00005000,0.5000,0.000000,1000000
1766487600,87615.92,87890.00,87564.29,87856.65,413.7651,0.00001722,0.00005000,0.5000,0.000000,1000000
1766491200,87856.66,87963.03,87600.00,87789.18,403.0386,0.00001722,0.00005000,0.5000,0.000000,1000000
1766494800,87789.18,87902.00,87426.70,87616.67,558.4158,0.00001722,0.00005000,0.5000,0.000000,1000000
1766498400,87616.66,87829.20,86601.90,86874.00,1406.8101,0.00001722,0.00005000,0.5000,0.000000,1000000
1766502000,86873.99,87550.00,86720.00,87443.45,1039.7286,0.00001722,0.00005000,0.5000,0.000000,1000000
1766505600,87443.45,88189.64,87325.40,88003.63,1214.1139,0.00001722,0.00005000,0.5000,0.000000,1000000
1766509200,88003.63,88275.40,87180.00,87180.01,705.2629,0.00001722,0.00005000,0.5000,0.000000,1000000
1766512800,87180.00,88177.98,87162.39,87975.01,814.3714,0.00001722,0.00005000,0.5000,0.000000,1000000
1766516400,87975.02,88043.94,87650.00,87752.87,487.0815,0.00001722,0.00005000,0.5000,0.000000,1000000
1766520000,87752.88,88372.35,87524.58,87691.50,807.5649,0.00001722,0.00005000,0.5000,0.000000,1000000
1766523600,87691.51,87856.37,87540.87,87722.89,406.5973,0.00001722,0.00005000,0.5000,0.000000,1000000
1766527200,87722.90,87779.25,87250.00,87399.45,627.8514,0.00001722,0.00005000,0.5000,0.000000,1000000
1766530800,87399.45,87520.87,87180.00,87486.00,504.9785,0.00001722,0.00005000,0.5000,0.000000,1000000
1766534400,87486.00,87672.26,87264.00,87660.47,394.4382,0.00001722,0.00005000,0.5000,0.000000,1000000
1766538000,87660.47,87839.66,87500.00,87632.51,313.3935,0.00001722,0.00005000,0.5000,0.000000,1000000
1766541600,87632.51,87658.07,86940.76,87134.39,587.2164,0.00001722,0.00005000,0.5000,0.000000,1000000
1766545200,87134.39,87392.61,86863.88,87336.23,303.8408,0.00001722,0.00005000,0.5000,0.000000,1000000
1766548800,87336.23,87458.54,87083.50,87147.65,288.5999,0.00001722,0.00005000,0.5000,0.000000,1000000
1766552400,87147.64,87248.79,86796.65,86957.90,344.8410,0.00001722,0.00005000,0.5000,0.000000,1000000
1766556000,86957.89,87071.64,86802.03,87019.21,370.3851,0.00001722,0.00005000,0.5000,0.000000,1000000
1766559600,87019.21,87184.57,86911.52,86911.53,345.8114,0.00001722,0.00005000,0.5000,0.000000,1000000
1766563200,86911.53,87077.67,86769.32,86795.56,315.0926,0.00001722,0.00005000,0.5000,0.000000,1000000
1766566800,86795.56,86903.17,86724.05,86812.80,230.6362,0.00001722,0.00005000,0.5000,0.000000,1000000
1766570400,86812.80,87196.00,86812.79,87077.66,292.4824,0.00001722,0.00005000,0.5000,0.000000,1000000
1766574000,87077.66,87359.59,87077.66,87203.94,350.1588,0.00001722,0.00005000,0.5000,0.000000,1000000
1766577600,87203.94,87478.59,87129.47,87428.51,308.2292,0.00001722,0.00005000,0.5000,0.000000,1000000
1766581200,87428.50,87440.24,87038.44,87286.90,403.5720,0.00001722,0.00005000,0.5000,0.000000,1000000
1766584800,87286.90,87448.49,86420.00,86994.70,906.3924,0.00001722,0.00005000,0.5000,0.000000,1000000
1766588400,86994.70,87218.69,86580.00,87049.99,682.3354,0.00001722,0.00005000,0.5000,0.000000,1000000
1766592000,87050.00,87670.00,86917.25,87283.23,859.0682,0.00001722,0.00005000,0.5000,0.000000,1000000
1766595600,87283.23,87576.68,87255.06,87322.77,412.5613,0.00001722,0.00005000,0.5000,0.000000,1000000
1766599200,87322.77,87500.67,87233.93,87470.65,257.6860,0.00001722,0.00005000,0.5000,0.000000,1000000
1766602800,87470.64,87578.81,87329.90,87566.06,217.1338,0.00001722,0.00005000,0.5000,0.000000,1000000
1766606400,87566.07,87679.05,87516.77,87556.20,186.4289,0.00001722,0.00005000,0.5000,0.000000,1000000
1766610000,87556.21,87795.65,87556.20,87696.33,184.5614,0.00001722,0.00005000,0.5000,0.000000,1000000
1766613600,87696.34,88049.89,87696.33,88009.81,324.4825,0.00001722,0.00005000,0.5000,0.000000,1000000
1766617200,88009.82,88023.57,87599.14,87669.45,261.4959,0.00001722,0.00005000,0.5000,0.000000,1000000
1766620800,87669.44,87749.00,87508.52,87568.37,172.9106,0.00001722,0.00005000,0.5000,0.000000,1000000
1766624400,87568.37,87748.78,87567.42,87699.99,127.7348,0.00001722,0.00005000,0.5000,0.000000,1000000
1766628000,87700.00,87967.50,87563.87,87892.66,207.0102,0.00001722,0.00005000,0.5000,0.000000,1000000
1766631600,87892.66,87925.08,87767.84,87840.42,145.2067,0.00001722,0.00005000,0.5000,0.000000,1000000
1766635200,87840.42,87843.38,87743.00,87773.33,132.5822,0.00001722,0.00005000,0.5000,0.000000,1000000
1766638800,87773.34,87787.92,87661.17,87750.55,171.9924,0.00001722,0.00005000,0.5000,0.000000,1000000
1766642400,87750.56,87842.53,87692.67,87836.42,122.2129,0.00001722,0.00005000,0.5000,0.000000,1000000
1766646000,87836.43,87862.20,87755.94,87837.59,141.8967,0.00001722,0.00005000,0.5000,0.000000,1000000
1766649600,87837.59,87888.00,87351.96,87584.65,461.1905,0.00001722,0.00005000,0.5000,0.000000,1000000
1766653200,87584.65,87603.78,87450.01,87526.48,318.4729,0.00001722,0.00005000,0.5000,0.000000,1000000
1766656800,87526.47,87533.36,87251.60,87414.14,276.8751,0.00001722,0.00005000,0.5000,0.000000,1000000
1766660400,87414.15,87591.32,87414.14,87519.44,147.2137,0.00001722,0.00005000,0.5000,0.000000,1000000
1766664000,87519.45,87586.92,87476.49,87566.00,142.9887,0.00001722,0.00005000,0.5000,0.000000,1000000
1766667600,87566.00,87683.87,87398.78,87638.25,370.1178,0.00001722,0.00005000,0.5000,0.000000,1000000
1766671200,87638.25,87759.33,87550.00,87718.21,282.9192,0.00001722,0.00005000,0.5000,0.000000,1000000
1766674800,87718.22,88592.74,87714.00,88371.27,1137.4468,0.00001722,0.00005000,0.5000,0.000000,1000000
1766678400,88371.27,88478.00,87993.21,88086.72,533.7715,0.00001722,0.00005000,0.5000,0.000000,1000000
1766682000,88086.73,88211.18,88000.32,88139.08,203.9763,0.00001722,0.00005000,0.5000,0.000000,1000000
1766685600,88139.07,88314.37,88139.07,88241.26,193.5487,0.00001722,0.00005000,0.5000,0.000000,1000000
1766689200,88241.26,88249.51,88075.99,88151.18,108.2500,0.00001722,0.00005000,0.5000,0.000000,1000000
1766692800,88151.19,88167.65,87650.00,87892.69,287.6105,0.00001722,0.00005000,0.5000,0.000000,1000000
1766696400,87892.69,87982.98,87820.00,87901.21,144.9066,0.00001722,0.00005000,0.5000,0.000000,1000000
1766700000,87901.22,87915.10,87311.00,87650.00,459.1901,0.00001722,0.00005000,0.5000,0.000000,1000000
1766703600,87649.99,87771.01,86934.72,87225.27,806.5574,0.00001722,0.00005000,0.5000,0.000000,1000000
1766707200,87225.27,87320.10,86891.70,87120.00,573.2285,0.00001722,0.00005000,0.5000,0.000000,1000000
1766710800,87119.99,87500.00,87119.99,87432.26,232.7474,0.00001722,0.00005000,0.5000,0.000000,1000000
1766714400,87432.26,89440.00,87416.04,89199.99,2823.5462,0.00001722,0.00005000,0.5000,0.000000,1000000
1766718000,89200.00,89289.99,88714.36,88844.87,1335.1037,0.00001722,0.00005000,0.5000,0.000000,1000000
1766721600,88844.88,89153.17,88516.73,88969.24,561.2344,0.00001722,0.00005000,0.5000,0.000000,1000000
1766725200,88969.24,89045.71,88828.06,88996.58,281.2277,0.00001722,0.00005000,0.5000,0.000000,1000000
1766728800,88996.58,89250.00,88996.58,89124.24,512.7750,0.00001722,0.00005000,0.5000,0.000000,1000000
1766732400,89124.24,89567.75,88347.45,88470.75,1799.2390,0.00001722,0.00005000,0.5000,0.000000,1000000
1766736000,88470.75,88886.00,88414.81,88742.28,449.8603,0.00001722,0.00005000,0.5000,0.000000,1000000
1766739600,88742.28,88918.59,88649.63,88811.76,363.3486,0.00001722,0.00005000,0.5000,0.000000,1000000
1766743200,88811.77,88882.01,88680.00,88748.34,245.0577,0.00001722,0.00005000,0.5000,0.000000,1000000
1766746800,88748.35,88754.69,88532.00,88533.42,192.0588,0.00001722,0.00005000,0.5000,0.000000,1000000
1766750400,88533.43,88761.45,88533.42,88678.90,338.3619,0.00001722,0.00005000,0.5000,0.000000,1000000
1766754000,88678.89,89050.00,88618.14,88992.88,360.8179,0.00001722,0.00005000,0.5000,0.000000,1000000
1766757600,88992.88,89049.88,87345.88,87380.43,1728.7639,0.00001722,0.00005000,0.5000,0.000000,1000000
1766761200,87380.44,87381.00,86655.08,87137.81,3504.4307,0.00001722,0.00005000,0.5000,0.000000,1000000
1766764800,87137.81,87380.00,86850.38,86855.82,711.3165,0.00001722,0.00005000,0.5000,0.000000,1000000
1766768400,86855.83,87463.77,86818.18,87331.91,460.4597,0.00001722,0.00005000,0.5000,0.000000,1000000
1766772000,87331.91,87380.00,87117.11,87277.77,386.9754,0.00001722,0.00005000,0.5000,0.000000,1000000
1766775600,87277.78,87580.29,87246.00,87501.83,382.0120,0.00001722,0.00005000,0.5000,0.000000,1000000
1766779200,87501.83,87792.70,87399.71,87585.77,275.0360,0.00001722,0.00005000,0.5000,0.000000,1000000
1766782800,87585.76,87697.81,87460.57,87470.59,309.6566,0.00001722,0.00005000,0.5000,0.000000,1000000
1766786400,87470.59,87592.67,87321.40,87550.00,304.7143,0.00001722,0.00005000,0.5000,0.000000,1000000
1766790000,87549.99,87550.09,87331.85,87369.56,212.6429,0.00001722,0.00005000,0.5000,0.000000,1000000
1766793600,87369.56,87414.26,87253.05,87401.07,201.5972,0.00001722,0.00005000,0.5000,0.000000,1000000
1766797200,87401.08,87492.66,87333.00,87475.03,129.6819,0.00001722,0.00005000,0.5000,0.000000,1000000
1766800800,87475.03,87492.66,87392.64,87446.02,170.0172,0.00001722,0.00005000,0.5000,0.000000,1000000
1766804400,87446.01,87532.00,87386.97,87514.22,174.0538,0.00001722,0.00005000,0.5000,0.000000,1000000
1766808000,87514.23,87516.84,87463.32,87470.19,106.0389,0.00001722,0.00005000,0.5000,0.000000,1000000
1766811600,87470.19,87512.80,87446.19,87506.00,107.2124,0.00001722,0.00005000,0.5000,0.000000,1000000
1766815200,87506.01,87566.00,87417.93,87469.02,148.9155,0.00001722,0.00005000,0.5000,0.000000,1000000
1766818800,87469.02,87702.00,87469.01,87539.26,153.1866,0.00001722,0.00005000,0.5000,0.000000,1000000
1766822400,87539.26,87677.00,87539.25,87593.00,113.7600,0.00001722,0.00005000,0.5000,0.000000,1000000
1766826000,87593.01,87665.62,87533.84,87618.91,478.7910,0.00001722,0.00005000,0.5000,0.000000,1000000
1766829600,87618.90,87627.67,87370.73,87503.01,293.1198,0.00001722,0.00005000,0.5000,0.000000,1000000
1766833200,87503.02,87549.97,87442.15,87475.98,192.0839,0.00001722,0.00005000,0.5000,0.000000,1000000
1766836800,87475.99,87515.21,87422.41,87474.28,86.4954,0.00001722,0.00005000,0.5000,0.000000,1000000
1766840400,87474.28,87478.37,87308.05,87452.78,204.7260,0.00001722,0.00005000,0.5000,0.000000,1000000
1766844000,87452.79,87544.91,87390.16,87544.90,306.4250,0.00001722,0.00005000,0.5000,0.000000,1000000
1766847600,87544.89,87589.99,87484.71,87551.25,151.7441,0.00001722,0.00005000,0.5000,0.000000,1000000
1766851200,87551.26,87583.47,87442.08,87498.41,152.7789,0.00001722,0.00005000,0.5000,0.000000,1000000
1766854800,87498.42,87562.79,87467.33,87562.58,129.1644,0.00001722,0.00005000,0.5000,0.000000,1000000
1766858400,87562.57,87572.41,87463.76,87500.01,152.4059,0.00001722,0.00005000,0.5000,0.000000,1000000
1766862000,87500.01,87591.00,87500.00,87569.39,132.2421,0.00001722,0.00005000,0.5000,0.000000,1000000
