ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1752037200,108553.60,108942.20,108489.20,108778.10,393.6561,0.0001,0.00005,0.5,0.0,1000000
1752040800,108778.10,108860.00,108667.01,108840.01,219.5522,0.0001,0.00005,0.5,0.0,1000000
1752044400,108840.01,108876.30,108675.15,108714.39,173.4223,0.0001,0.00005,0.5,0.0,1000000
1752048000,108714.39,108837.70,108654.15,108654.16,259.4681,0.0001,0.00005,0.5,0.0,1000000
1752051600,108654.15,108793.47,108553.18,108763.37,334.0893,0.0001,0.00005,0.5,0.0,1000000
1752055200,108763.37,108900.00,108708.00,108900.00,159.3978,0.0001,0.00005,0.5,0.0,1000000
1752058800,108900.00,109117.00,108899.99,109058.27,523.0409,0.0001,0.00005,0.5,0.0,1000000
1752062400,109058.27,109500.00,108992.87,109330.77,917.6335,0.0001,0.00005,0.5,0.0,1000000
1752066000,109330.76,109769.39,109128.72,109184.00,1400.6987,0.0001,0.00005,0.5,0.0,1000000
1752069600,109183.99,109460.94,108503.00,108900.29,1123.1786,0.0001,0.00005,0.5,0.0,1000000
1752073200,108900.29,109215.69,108816.52,109071.32,666.8805,0.0001,0.00005,0.5,0.0,1000000
1752076800,109071.32,109475.29,109047.49,109408.71,338.2735,0.0001,0.00005,0.5,0.0,1000000
1752080400,109408.72,109447.82,109047.49,109168.00,301.2692,0.0001,0.00005,0.5,0.0,1000000
1752084000,109168.01,109579.98,109137.42,109536.49,559.4946,0.0001,0.00005,0.5,0.0,1000000
1752087600,109536.50,111999.79,109500.00,111750.00,5139.5373,0.0001,0.00005,0.5,0.0,1000000
1752091200,111749.99,111952.33,110559.40,110714.97,1677.6930,0.0001,0.00005,0.5,0.0,1000000
1752094800,110714.97,111280.00,110682.39,110818.36,689.3223,0.0001,0.00005,0.5,0.0,1000000
1752098400,110818.36,111403.85,110818.36,111382.17,582.4118,0.0001,0.00005,0.5,0.0,1000000
1752102000,111382.17,111521.00,111229.92,111233.99,613.4960,0.0001,0.00005,0.5,0.0,1000000
1752105600,111234.00,111319.24,110916.66,110916.66,402.3616,0.0001,0.00005,0.5,0.0,1000000
1752109200,110916.66,111356.00,110880.00,111189.71,474.2819,0.0001,0.00005,0.5,0.0,1000000
1752112800,111189.70,111581.00,111150.00,111213.91,493.3590,0.0001,0.00005,0.5,0.0,1000000
1752116400,111213.91,111221.14,110986.33,111074.51,317.7321,0.0001,0.00005,0.5,0.0,1000000
1752120000,111074.52,111185.77,110951.59,111150.00,292.1338,0.0001,0.00005,0.5,0.0,1000000
1752123600,111150.00,111164.35,110898.00,111086.14,477.2013,0.0001,0.00005,0.5,0.0,1000000
1752127200,111086.14,111306.49,111086.14,111233.34,395.6831,0.0001,0.00005,0.5,0.0,1000000
1752130800,111233.33,111432.46,111144.08,111230.00,502.0959,0.0001,0.00005,0.5,0.0,1000000
1752134400,111229.99,111398.96,111102.78,111233.33,401.0645,0.0001,0.00005,0.5,0.0,1000000
1752138000,111233.34,111258.00,111021.57,111041.36,286.9700,0.0001,0.00005,0.5,0.0,1000000
1752141600,111041.37,111098.30,110870.33,111088.51,356.0752,0.0001,0.00005,0.5,0.0,1000000
1752145200,111088.51,111173.95,110967.00,111019.99,363.6832,0.0001,0.00005,0.5,0.0,1000000
1752148800,111019.99,111020.00,110752.35,110869.00,357.6586,0.0001,0.00005,0.5,0.0,1000000
1752152400,110869.00,111039.99,110500.00,110800.01,544.2692,0.0001,0.00005,0.5,0.0,1000000
1752156000,110801.78,111319.24,110642.30,111247.57,729.6838,0.0001,0.00005,0.5,0.0,1000000
1752159600,111247.56,111408.41,110969.51,111408.40,589.6058,0.0001,0.00005,0.5,0.0,1000000
1752163200,111408.40,112725.38,111322.32,112643.48,2446.3854,0.0001,0.00005,0.5,0.0,1000000
1752166800,112643.47,113788.23,112545.95,113722.82,2757.3760,0.0001,0.00005,0.5,0.0,1000000
1752170400,113722.83,113760.97,112985.64,113420.00,1310.7845,0.0001,0.00005,0.5,0.0,1000000
1752174000,113420.01,113680.00,113098.45,113301.81,946.4918,0.0001,0.00005,0.5,0.0,1000000
1752177600,113301.80,113580.00,113270.98,113493.16,554.8141,0.0001,0.00005,0.5,0.0,1000000
1752181200,113493.16,116868.00,113385.36,116490.52,6314.0713,0.0001,0.00005,0.5,0.0,1000000
1752184800,116490.52,116499.95,115800.00,116008.38,2278.6399,0.0001,0.00005,0.5,0.0,1000000
1752188400,116008.38,116099.99,115645.88,116010.00,1291.0286,0.0001,0.00005,0.5,0.0,1000000
1752192000,116010.01,116098.80,115222.22,115590.63,1041.0608,0.0001,0.00005,0.5,0.0,1000000
1752195600,115590.64,116078.85,115514.57,115967.57,786.2565,0.0001,0.00005,0.5,0.0,1000000
1752199200,115967.57,116800.00,115702.86,116672.57,1353.1424,0.0001,0.00005,0.5,0.0,1000000
1752202800,116672.57,116950.00,116390.25,116881.70,1276.2116,0.0001,0.00005,0.5,0.0,1000000
1752206400,116881.69,116929.00,116500.00,116918.16,674.0254,0.0001,0.00005,0.5,0.0,1000000
1752210000,116918.16,118404.22,116918.16,117860.37,2636.8738,0.0001,0.00005,0.5,0.0,1000000
1752213600,117860.38,118400.00,117602.22,117648.33,1499.8354,0.0001,0.00005,0.5,0.0,1000000
1752217200,117648.32,118108.79,117468.53,117526.88,3129.4387,0.0001,0.00005,0.5,0.0,1000000
1752220800,117526.88,118133.00,117526.88,117964.76,1000.8286,0.0001,0.00005,0.5,0.0,1000000
1752224400,117964.75,118869.98,117883.74,118470.34,1514.6018,0.0001,0.00005,0.5,0.0,1000000
1752228000,118470.35,118470.35,117946.72,117983.78,1340.0094,0.0001,0.00005,0.5,0.0,1000000
1752231600,117983.78,118110.60,117583.16,117821.91,808.6218,0.0001,0.00005,0.5,0.0,1000000
1752235200,117821.91,118259.24,117741.94,117878.11,861.4265,0.0001,0.00005,0.5,0.0,1000000
1752238800,117878.10,118189.18,117273.45,117989.18,1463.5614,0.0001,0.00005,0.5,0.0,1000000
1752242400,117989.17,118170.24,117388.00,117858.16,1074.5957,0.0001,0.00005,0.5,0.0,1000000
1752246000,117858.15,117960.00,116724.66,116902.59,1311.7905,0.0001,0.00005,0.5,0.0,1000000
1752249600,116902.58,117433.40,116604.87,117393.39,931.3310,0.0001,0.00005,0.5,0.0,1000000
1752253200,117393.38,117745.70,117250.00,117640.00,775.1602,0.0001,0.00005,0.5,0.0,1000000
1752256800,117640.01,117734.55,117300.00,117694.01,408.5892,0.0001,0.00005,0.5,0.0,1000000
1752260400,117694.02,118138.75,117426.58,118108.81,639.6460,0.0001,0.00005,0.5,0.0,1000000
1752264000,118108.81,118108.81,117659.19,117664.46,355.6599,0.0001,0.00005,0.5,0.0,1000000
1752267600,117664.46,117880.01,117471.09,117619.99,279.7214,0.0001,0.00005,0.5,0.0,1000000
1752271200,117619.99,117665.92,117146.80,117615.89,505.9750,0.0001,0.00005,0.5,0.0,1000000
1752274800,117615.88,117677.24,117436.59,117527.66,205.1581,0.0001,0.00005,0.5,0.0,1000000
1752278400,117527.66,117646.97,117141.13,117407.99,392.5503,0.0001,0.00005,0.5,0.0,1000000
1752282000,117407.99,117697.49,117407.99,117644.81,322.0249,0.0001,0.00005,0.5,0.0,1000000
1752285600,117644.80,117800.43,117556.00,117599.99,319.1069,0.0001,0.00005,0.5,0.0,1000000
1752289200,117599.98,117847.66,117599.97,117774.42,235.1377,0.0001,0.00005,0.5,0.0,1000000
1752292800,117774.42,117876.57,117587.00,117646.44,231.5852,0.0001,0.00005,0.5,0.0,1000000
1752296400,117646.43,117718.82,117506.37,117689.68,227.7315,0.0001,0.00005,0.5,0.0,1000000
1752300000,117689.68,117981.57,117660.00,117847.66,309.0759,0.0001,0.00005,0.5,0.0,1000000
1752303600,117847.66,118054.79,117625.63,117731.99,389.3032,0.0001,0.00005,0.5,0.0,1000000
1752307200,117731.99,118000.00,117724.47,117929.65,426.8795,0.0001,0.00005,0.5,0.0,1000000
1752310800,117929.66,118200.00,117881.15,118158.78,372.5784,0.0001,0.00005,0.5,0.0,1000000
1752314400,118158.79,118158.79,117870.31,118077.32,360.5217,0.0001,0.00005,0.5,0.0,1000000
1752318000,118077.32,118106.20,117625.00,117810.00,299.3852,0.0001,0.00005,0.5,0.0,1000000
1752321600,117810.00,117861.19,117309.61,117559.97,896.2655,0.0001,0.00005,0.5,0.0,1000000
1752325200,117559.98,117571.61,117238.88,117500.00,758.2450,0.0001,0.00005,0.5,0.0,1000000
1752328800,117500.00,117727.26,117315.68,117389.47,449.9668,0.0001,0.00005,0.5,0.0,1000000
1752332400,117389.47,117461.62,116900.05,117100.01,782.9130,0.0001,0.00005,0.5,0.0,1000000
1752336000,117100.00,117399.77,117045.86,117191.08,282.9891,0.0001,0.00005,0.5,0.0,1000000
1752339600,117191.08,117548.69,117186.81,117478.40,209.0066,0.0001,0.00005,0.5,0.0,1000000
1752343200,117478.40,117509.76,117378.91,117504.00,161.7300,0.0001,0.00005,0.5,0.0,1000000
1752346800,117504.01,117639.98,117439.72,117550.96,307.8177,0.0001,0.00005,0.5,0.0,1000000
1752350400,117550.96,117550.96,117023.35,117023.36,154.5203,0.0001,0.00005,0.5,0.0,1000000
1752354000,117023.36,117555.50,117000.01,117485.22,207.0473,0.0001,0.00005,0.5,0.0,1000000
1752357600,117485.21,117563.75,117312.04,117385.37,233.1501,0.0001,0.00005,0.5,0.0,1000000
1752361200,117385.38,117460.02,117219.53,117420.00,117.0729,0.0001,0.00005,0.5,0.0,1000000
1752364800,117420.00,117458.48,117248.21,117316.10,163.5873,0.0001,0.00005,0.5,0.0,1000000
1752368400,117316.10,117640.61,117224.79,117553.37,236.1300,0.0001,0.00005,0.5,0.0,1000000
1752372000,117553.37,117817.16,117407.94,117620.00,158.6613,0.0001,0.00005,0.5,0.0,1000000
1752375600,117620.00,117824.76,117600.81,117753.60,138.0329,0.0001,0.00005,0.5,0.0,1000000
1752379200,117753.59,117892.23,117684.22,117879.22,222.5011,0.0001,0.00005,0.5,0.0,1000000
1752382800,117879.22,117904.75,117700.65,117759.99,150.5590,0.0001,0.00005,0.5,0.0,1000000
