ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1704067200,42000.00,42020.37,41789.95,41863.44,2157.3,0.00010305,0.00003704,1.2250,0.000260,1014513
1704067500,41863.44,41964.61,41794.30,41959.45,1720.7,0.00015726,0.00007897,1.3833,0.000025,1027552
1704067800,41959.45,42054.27,41858.77,41997.96,982.5,0.00012955,0.00004148,0.1919,0.000296,1034473
1704068100,41997.96,42157.63,41981.66,42075.94,1749.6,0.00012649,0.00007595,1.0689,-0.000006,1024341
1704068400,42075.94,42086.27,41979.19,42034.67,1396.0,0.00013139,0.00004021,0.3940,-0.000432,1012739
1704068700,42034.67,42043.17,41986.19,42041.90,823.6,0.00013532,0.00007800,0.9143,-0.000132,1005225
1704069000,42041.90,42063.01,41817.70,41936.30,2143.6,0.00013365,0.00004213,1.2211,0.000003,1011034
1704069300,41936.30,42089.15,41928.64,42001.36,1233.0,0.00011622,0.00001841,1.1668,0.000298,1013842
1704069600,42001.36,42108.55,41846.40,41964.55,1648.5,0.00014105,0.00005333,0.7518,-0.000063,990559
1704069900,41964.55,42039.16,41713.87,41848.42,2530.7,0.00014961,0.00005807,1.0268,0.000079,997339
1704070200,41848.42,41961.45,41781.31,41916.66,1830.7,0.00015882,0.00006390,0.7815,0.000190,990647
1704070500,41916.66,41974.83,41732.87,41849.62,1807.6,0.00013320,0.00006288,1.0802,0.000161,988527
1704070800,41849.62,41989.84,41787.52,41987.03,2307.1,0.00011977,0.00000000,2.1462,-0.000716,977880
1704071100,41987.03,42098.12,41753.90,41926.91,1677.0,0.00006088,0.00000924,1.1654,-0.000082,949164
1704071400,41926.91,42060.96,41924.34,42018.94,2305.3,0.00007048,0.00004282,1.3061,0.000315,951540
1704071700,42018.94,42055.12,41923.23,42050.72,1262.5,0.00002890,0.00004410,1.1575,0.000683,945127
1704072000,42050.72,42076.94,41993.41,42027.62,1161.8,0.00004796,0.00001297,1.1511,0.000129,951970
1704072300,42027.62,42307.11,41890.46,42174.15,2327.1,0.00005815,0.00000000,1.0876,-0.000199,939885
1704072600,42174.15,42277.98,42019.86,42044.18,1992.4,0.00014701,0.00007070,1.5277,0.000669,940214
