ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1767333600,88765.21,88859.68,88715.44,88789.33,73.1810,0.0001,0.00005,0.5,0.0,1000000
1767333900,88789.33,88800.00,88729.14,88751.29,14.7650,0.0001,0.00005,0.5,0.0,1000000
1767334200,88751.30,88815.10,88751.29,88791.24,10.9426,0.0001,0.00005,0.5,0.0,1000000
1767334500,88791.23,88841.61,88790.00,88841.61,7.9850,0.0001,0.00005,0.5,0.0,1000000
1767334800,88841.60,88885.37,88820.91,88870.92,24.1407,0.0001,0.00005,0.5,0.0,1000000
1767335100,88870.92,88924.33,88856.58,88922.22,25.3336,0.0001,0.00005,0.5,0.0,1000000
1767335400,88922.22,88958.00,88920.26,88945.21,20.1049,0.0001,0.00005,0.5,0.0,1000000
1767335700,88945.21,89032.01,88937.65,89030.50,24.2608,0.0001,0.00005,0.5,0.0,1000000
1767336000,89030.51,89079.44,88978.27,88978.27,38.4387,0.0001,0.00005,0.5,0.0,1000000
1767336300,88978.27,89042.75,88968.11,89000.00,11.7998,0.0001,0.00005,0.5,0.0,1000000
1767336600,88999.99,89038.37,88999.99,89009.74,14.9804,0.0001,0.00005,0.5,0.0,1000000
1767336900,89009.73,89020.46,88924.32,88935.04,25.4325,0.0001,0.00005,0.5,0.0,1000000
1767337200,88935.05,88993.63,88935.04,88964.24,26.3291,0.0001,0.00005,0.5,0.0,1000000
1767337500,88964.24,89008.99,88964.24,89008.98,6.7824,0.0001,0.00005,0.5,0.0,1000000
1767337800,89008.99,89068.62,88999.36,89046.13,38.3949,0.0001,0.00005,0.5,0.0,1000000
1767338100,89046.13,89046.14,88924.32,88996.05,46.9395,0.0001,0.00005,0.5,0.0,1000000
1767338400,88996.05,89019.37,88964.09,88985.84,17.6493,0.0001,0.00005,0.5,0.0,1000000
1767338700,88985.83,88985.84,88862.38,88903.35,37.1344,0.0001,0.00005,0.5,0.0,1000000
1767339000,88903.35,88921.12,88854.93,88877.11,18.8685,0.0001,0.00005,0.5,0.0,1000000
1767339300,88877.11,88877.12,88857.99,88871.25,11.3584,0.0001,0.00005,0.5,0.0,1000000
1767339600,88871.26,88898.73,88848.00,88858.94,17.8293,0.0001,0.00005,0.5,0.0,1000000
1767339900,88858.95,88891.87,88848.06,88853.94,28.6712,0.0001,0.00005,0.5,0.0,1000000
1767340200,88853.93,88891.91,88848.00,88872.00,30.8138,0.0001,0.00005,0.5,0.0,1000000
1767340500,88872.01,88897.65,88794.01,88857.61,106.8004,0.0001,0.00005,0.5,0.0,1000000
1767340800,88857.60,88900.00,88758.94,88842.10,96.7468,0.0001,0.00005,0.5,0.0,1000000
1767341100,88842.10,88978.28,88842.09,88973.35,51.6957,0.0001,0.00005,0.5,0.0,1000000
1767341400,88973.35,89093.34,88973.35,89076.00,37.2996,0.0001,0.00005,0.5,0.0,1000000
1767341700,89075.99,89076.00,88984.00,88991.26,17.0920,0.0001,0.00005,0.5,0.0,1000000
1767342000,88991.26,89099.98,88991.26,89098.98,23.9598,0.0001,0.00005,0.5,0.0,1000000
1767342300,89098.97,89098.98,89062.45,89062.45,12.6230,0.0001,0.00005,0.5,0.0,1000000
1767342600,89062.45,89123.02,89023.01,89123.01,31.7085,0.0001,0.00005,0.5,0.0,1000000
1767342900,89123.02,89169.10,89069.62,89100.77,37.2293,0.0001,0.00005,0.5,0.0,1000000
1767343200,89100.77,89116.97,89087.99,89091.75,22.0911,0.0001,0.00005,0.5,0.0,1000000
1767343500,89091.75,89112.98,89072.18,89111.71,25.8332,0.0001,0.00005,0.5,0.0,1000000
1767343800,89111.71,89147.13,89079.43,89079.44,20.6574,0.0001,0.00005,0.5,0.0,1000000
1767344100,89079.44,89200.00,89079.43,89178.13,59.8451,0.0001,0.00005,0.5,0.0,1000000
1767344400,89178.13,89200.00,89133.39,89149.92,28.7682,0.0001,0.00005,0.5,0.0,1000000
1767344700,89149.92,89154.00,89106.65,89142.95,97.2347,0.0001,0.00005,0.5,0.0,1000000
1767345000,89142.94,89326.66,89142.94,89252.00,126.2379,0.0001,0.00005,0.5,0.0,1000000
1767345300,89252.01,89276.55,89106.34,89140.32,56.0551,0.0001,0.00005,0.5,0.0,1000000
1767345600,89140.32,89211.53,89140.31,89150.00,57.0782,0.0001,0.00005,0.5,0.0,1000000
1767345900,89150.00,89188.05,89150.00,89167.77,36.9990,0.0001,0.00005,0.5,0.0,1000000
1767346200,89167.77,89220.00,89146.00,89154.89,35.2034,0.0001,0.00005,0.5,0.0,1000000
1767346500,89154.89,89200.00,89132.00,89133.38,25.1848,0.0001,0.00005,0.5,0.0,1000000
1767346800,89133.38,89237.91,89133.38,89237.90,42.4591,0.0001,0.00005,0.5,0.0,1000000
1767347100,89237.90,89484.06,89220.69,89481.37,178.0801,0.0001,0.00005,0.5,0.0,1000000
1767347400,89480.01,89484.06,89315.03,89450.00,112.1069,0.0001,0.00005,0.5,0.0,1000000
1767347700,89450.00,89469.35,89363.98,89467.32,90.4346,0.0001,0.00005,0.5,0.0,1000000
1767348000,89467.32,89561.54,89451.34,89499.99,174.7477,0.0001,0.00005,0.5,0.0,1000000
1767348300,89500.00,89800.00,89499.99,89715.36,294.6276,0.0001,0.00005,0.5,0.0,1000000
1767348600,89715.37,89847.08,89680.00,89836.09,183.2249,0.0001,0.00005,0.5,0.0,1000000
