ts,open,high,low,close,volume,funding,borrow,liq,depeg,oi
1709251200,61130.99,61749.0,61126.0,61501.11,1867.79902,0.0,0.0,0.0,0.0,0.0
1709254800,61501.1,61566.95,61125.4,61214.35,1552.25486,0.0,0.0,0.0,0.0,0.0
1709258400,61214.35,61214.36,60781.25,60980.0,1600.91093,0.0,0.0,0.0,0.0,0.0
1709262000,60980.0,61222.22,60777.0,61105.91,1324.6116,0.0,0.0,0.0,0.0,0.0
1709265600,61105.92,61524.09,61061.11,61524.09,1067.62569,0.0,0.0,0.0,0.0,0.0
1709269200,61524.08,61546.35,61295.86,61312.01,1069.63815,0.0,0.0,0.0,0.0,0.0
1709272800,61312.01,61761.0,61201.1,61568.18,1365.94904,0.0,0.0,0.0,0.0,0.0
1709276400,61568.18,61772.82,61383.98,61434.0,2216.19216,0.0,0.0,0.0,0.0,0.0
1709280000,61434.0,62243.53,61316.67,61908.62,3160.49057,0.0,0.0,0.0,0.0,0.0
1709283600,61908.63,62188.0,61854.33,62129.15,2033.75971,0.0,0.0,0.0,0.0,0.0
1709287200,62129.14,62188.0,61859.29,61991.11,1774.98071,0.0,0.0,0.0,0.0,0.0
1709290800,61991.1,62110.0,61811.01,61863.72,1483.04892,0.0,0.0,0.0,0.0,0.0
1709294400,61863.71,62574.99,61855.1,62230.0,2151.79345,0.0,0.0,0.0,0.0,0.0
1709298000,62230.01,62677.06,62193.55,62457.98,2025.40049,0.0,0.0,0.0,0.0,0.0
1709301600,62457.99,62486.0,61525.66,61948.3,2949.09972,0.0,0.0,0.0,0.0,0.0
1709305200,61948.3,62181.81,61131.01,61263.99,2844.98539,0.0,0.0,0.0,0.0,0.0
1709308800,61263.98,61626.16,61234.0,61427.38,2229.98066,0.0,0.0,0.0,0.0,0.0
1709312400,61427.38,62097.38,61427.37,61909.98,2176.74646,0.0,0.0,0.0,0.0,0.0
1709316000,61909.98,62494.31,61822.82,62333.52,1934.99119,0.0,0.0,0.0,0.0,0.0
1709319600,62333.52,62361.15,61964.11,62215.5,1544.63743,0.0,0.0,0.0,0.0,0.0
1709323200,62215.51,63114.23,62215.5,62861.11,3527.43294,0.0,0.0,0.0,0.0,0.0
1709326800,62861.1,62884.36,62258.83,62520.47,2697.92463,0.0,0.0,0.0,0.0,0.0
1709330400,62520.47,62674.92,62318.32,62490.09,1654.26582,0.0,0.0,0.0,0.0,0.0
1709334000,62490.09,62725.92,62355.3,62387.9,1483.41519,0.0,0.0,0.0,0.0,0.0
1709337600,62387.9,62433.19,62101.78,62299.99,1575.64382,0.0,0.0,0.0,0.0,0.0
1709341200,62300.0,62306.7,61950.0,62030.01,1247.33022,0.0,0.0,0.0,0.0,0.0
1709344800,62030.01,62216.71,61949.03,62111.18,1153.46042,0.0,0.0,0.0,0.0,0.0
1709348400,62111.18,62426.7,62025.0,62307.45,1465.47878,0.0,0.0,0.0,0.0,0.0
1709352000,62307.45,62307.45,62035.95,62035.95,1147.71004,0.0,0.0,0.0,0.0,0.0
1709355600,62035.95,62079.99,61752.3,62006.55,1415.65823,0.0,0.0,0.0,0.0,0.0
1709359200,62006.55,62256.0,61930.0,61946.0,1059.53378,0.0,0.0,0.0,0.0,0.0
1709362800,61946.0,62041.7,61790.98,62011.85,1223.45307,0.0,0.0,0.0,0.0,0.0
1709366400,62011.85,62123.0,61779.61,61939.64,1101.8718,0.0,0.0,0.0,0.0,0.0
1709370000,61939.63,61988.0,61641.1,61843.06,1462.58666,0.0,0.0,0.0,0.0,0.0
1709373600,61843.07,62020.0,61806.46,61904.86,1000.91557,0.0,0.0,0.0,0.0,0.0
1709377200,61904.86,62040.0,61826.32,61826.32,846.19786,0.0,0.0,0.0,0.0,0.0
1709380800,61826.32,62167.79,61820.0,62078.66,829.02145,0.0,0.0,0.0,0.0,0.0
1709384400,62078.66,62078.66,61803.69,61803.69,827.32071,0.0,0.0,0.0,0.0,0.0
1709388000,61803.69,61911.41,61561.12,61840.12,1397.28357,0.0,0.0,0.0,0.0,0.0
1709391600,61840.12,61981.71,61709.89,61771.2,1247.72511,0.0,0.0,0.0,0.0,0.0
1709395200,61771.21,61873.69,61625.0,61854.29,1037.58442,0.0,0.0,0.0,0.0,0.0
1709398800,61854.29,61944.97,61740.21,61761.11,688.29637,0.0,0.0,0.0,0.0,0.0
1709402400,61761.12,62024.3,61741.1,62024.29,640.04591,0.0,0.0,0.0,0.0,0.0
1709406000,62024.29,62114.77,61954.0,62114.77,1052.36125,0.0,0.0,0.0,0.0,0.0
1709409600,62114.76,62200.0,61762.05,61873.2,1163.76246,0.0,0.0,0.0,0.0,0.0
1709413200,61873.19,62020.35,61821.67,61898.73,631.68978,0.0,0.0,0.0,0.0,0.0
1709416800,61898.73,61944.22,61685.01,61685.02,523.14956,0.0,0.0,0.0,0.0,0.0
1709420400,61685.01,62071.76,61685.01,61987.28,796.65575,0.0,0.0,0.0,0.0,0.0
1709424000,61987.28,61996.17,61731.71,61736.9,1008.13454,0.0,0.0,0.0,0.0,0.0
1709427600,61736.9,61900.04,61733.25,61795.53,676.90745,0.0,0.0,0.0,0.0,0.0
1709431200,61795.52,61808.74,61642.39,61808.73,625.62928,0.0,0.0,0.0,0.0,0.0
1709434800,61808.73,62000.0,61785.86,61931.09,816.42779,0.0,0.0,0.0,0.0,0.0
1709438400,61931.09,62100.0,61905.01,62016.25,778.99062,0.0,0.0,0.0,0.0,0.0
1709442000,62016.25,62044.26,61900.0,61900.0,718.92986,0.0,0.0,0.0,0.0,0.0
1709445600,61900.0,62043.0,61763.32,61865.01,802.59416,0.0,0.0,0.0,0.0,0.0
1709449200,61865.01,61893.74,61320.0,61598.0,2530.94297,0.0,0.0,0.0,0.0,0.0
1709452800,61598.01,61710.52,61393.83,61597.11,1475.61089,0.0,0.0,0.0,0.0,0.0
1709456400,61597.1,61890.96,61556.0,61715.05,1108.63547,0.0,0.0,0.0,0.0,0.0
1709460000,61715.05,61807.3,61606.68,61655.57,736.22474,0.0,0.0,0.0,0.0,0.0
1709463600,61655.58,61831.1,61616.31,61831.1,622.38251,0.0,0.0,0.0,0.0,0.0
1709467200,61831.1,62640.18,61821.09,62184.02,3311.36946,0.0,0.0,0.0,0.0,0.0
1709470800,62184.03,62414.24,61954.2,62393.86,1497.09153,0.0,0.0,0.0,0.0,0.0
1709474400,62393.85,62440.89,62102.68,62102.68,1115.32821,0.0,0.0,0.0,0.0,0.0
1709478000,62102.68,62259.63,62102.68,62164.63,762.11595,0.0,0.0,0.0,0.0,0.0
1709481600,62164.63,62861.91,62088.0,62845.15,2125.19567,0.0,0.0,0.0,0.0,0.0
1709485200,62845.14,62989.0,62458.01,62570.01,1725.46165,0.0,0.0,0.0,0.0,0.0
1709488800,62570.01,62863.68,62570.0,62811.1,957.69137,0.0,0.0,0.0,0.0,0.0
1709492400,62811.1,62857.0,62653.89,62730.0,814.77449,0.0,0.0,0.0,0.0,0.0
1709496000,62730.0,62859.99,62580.0,62757.99,843.07635,0.0,0.0,0.0,0.0,0.0
1709499600,62758.0,62828.18,62623.76,62827.11,652.28143,0.0,0.0,0.0,0.0,0.0
1709503200,62827.11,63231.88,62700.0,62827.43,2007.2349,0.0,0.0,0.0,0.0,0.0
1709506800,62827.42,63151.65,62700.0,63113.97,1281.87774,0.0,0.0,0.0,0.0,0.0
1709510400,63113.97,64268.24,62300.0,63459.3,6837.79487,0.0,0.0,0.0,0.0,0.0
1709514000,63459.29,63833.02,63251.1,63512.41,2273.39458,0.0,0.0,0.0,0.0,0.0
1709517600,63512.42,63881.66,63100.0,63687.43,2060.45884,0.0,0.0,0.0,0.0,0.0
1709521200,63687.42,63754.45,63355.0,63458.72,1392.06462,0.0,0.0,0.0,0.0,0.0
