ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1769607000,90140.73,90227.01,90100.59,90218.02,98.8276,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769607300,90218.02,90383.09,90214.54,90285.87,284.0756,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769607600,90285.87,90488.00,90239.98,90415.58,265.5890,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769607900,90415.57,90467.48,90319.03,90347.51,263.5641,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769608200,90347.50,90381.20,90309.08,90326.63,40.2616,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769608500,90326.64,90326.64,90172.94,90257.91,45.8894,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769608800,90257.91,90276.78,90184.00,90243.00,52.3589,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769609100,90243.00,90243.00,90142.85,90202.74,36.4606,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769609400,90202.74,90218.77,90144.44,90149.73,85.9317,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769609700,90149.72,90182.05,90043.40,90075.22,53.5936,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769610000,90075.21,90082.68,90000.01,90026.78,50.5145,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769610300,90026.79,90056.27,89937.00,90010.86,45.0154,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769610600,90010.85,90114.44,89888.95,90081.34,102.3565,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769610900,90081.35,90147.45,89800.00,89810.00,115.5817,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769611200,89810.01,89818.68,89640.01,89710.71,161.6287,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769611500,89710.71,89746.80,89460.01,89606.48,171.5943,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769611800,89606.49,89774.69,89536.06,89729.63,66.4883,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769612100,89729.64,89729.64,89567.25,89617.27,56.2131,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769612400,89617.27,89849.75,89606.82,89759.31,44.1533,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769612700,89759.31,89848.90,89401.40,89410.27,110.5174,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769613000,89410.27,89450.84,89090.00,89101.77,159.3733,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769613300,89100.00,89267.29,88904.61,89186.00,236.9554,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769613600,89186.01,89296.00,89182.19,89200.01,105.6976,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769613900,89200.01,89344.06,89100.00,89267.94,48.7317,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769614200,89267.94,89412.00,89230.73,89230.73,62.0414,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769614500,89230.73,89467.56,89230.73,89424.18,41.3826,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769614800,89424.17,89540.36,89400.00,89500.01,46.4222,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769615100,89500.01,89634.20,89317.68,89375.31,78.7685,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769615400,89375.30,89546.68,89357.46,89546.68,34.2761,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769615700,89546.68,89577.24,89430.31,89479.66,30.5643,-0.00003267,0.00005000,0.5000,0.000000,1000000
