ts,open,high,low,close,volume,funding,borrow,liq,depeg,oi
1727740800,63327.6,63606.0,63006.7,63531.99,1336.93335,0.0,0.0,0.0,0.0,0.0
1727744400,63532.0,63639.86,63370.01,63458.0,1004.08763,0.0,0.0,0.0,0.0,0.0
1727748000,63458.0,63458.0,63180.0,63443.76,716.11822,0.0,0.0,0.0,0.0,0.0
1727751600,63443.76,63744.0,63430.0,63723.48,822.21265,0.0,0.0,0.0,0.0,0.0
1727755200,63723.47,63879.81,63652.06,63868.94,778.75286,0.0,0.0,0.0,0.0,0.0
1727758800,63868.93,63899.99,63674.49,63749.99,816.29206,0.0,0.0,0.0,0.0,0.0
1727762400,63750.0,64097.03,63750.0,64033.98,778.17242,0.0,0.0,0.0,0.0,0.0
1727766000,64033.99,64130.63,63920.0,64045.92,1142.17634,0.0,0.0,0.0,0.0,0.0
1727769600,64045.92,64096.0,63839.0,63956.0,974.1637,0.0,0.0,0.0,0.0,0.0
1727773200,63955.99,64118.0,63864.46,63864.46,1152.0675,0.0,0.0,0.0,0.0,0.0
1727776800,63864.47,63942.0,63707.89,63910.12,603.43982,0.0,0.0,0.0,0.0,0.0
1727780400,63910.11,63989.58,63723.4,63734.0,500.6752,0.0,0.0,0.0,0.0,0.0
1727784000,63734.01,63809.97,63559.63,63668.21,535.43878,0.0,0.0,0.0,0.0,0.0
1727787600,63668.21,63688.0,62522.0,62866.8,3512.9979,0.0,0.0,0.0,0.0,0.0
1727791200,62866.8,63084.0,62448.01,62598.0,3649.61853,0.0,0.0,0.0,0.0,0.0
1727794800,62598.0,62821.76,61814.01,62628.85,4931.80431,0.0,0.0,0.0,0.0,0.0
1727798400,62628.85,62778.73,61906.04,62448.0,3426.5041,0.0,0.0,0.0,0.0,0.0
1727802000,62448.0,62448.0,61092.0,62151.99,5545.71241,0.0,0.0,0.0,0.0,0.0
1727805600,62152.0,62440.0,61859.57,61987.99,1708.27737,0.0,0.0,0.0,0.0,0.0
1727809200,61987.98,62091.29,61610.71,61755.99,1598.40777,0.0,0.0,0.0,0.0,0.0
1727812800,61755.99,61760.74,60164.0,60809.02,4855.59431,0.0,0.0,0.0,0.0,0.0
1727816400,60809.03,61214.73,60656.77,61142.01,1253.06187,0.0,0.0,0.0,0.0,0.0
1727820000,61142.0,61142.01,60630.01,60767.99,1093.23745,0.0,0.0,0.0,0.0,0.0
1727823600,60768.0,61033.71,60652.0,60805.78,935.73453,0.0,0.0,0.0,0.0,0.0
1727827200,60804.92,61208.49,60733.81,61046.26,1228.11528,0.0,0.0,0.0,0.0,0.0
1727830800,61046.27,61536.16,61000.0,61522.89,941.08845,0.0,0.0,0.0,0.0,0.0
1727834400,61522.89,61822.62,61433.49,61782.89,1174.69646,0.0,0.0,0.0,0.0,0.0
1727838000,61782.89,61883.0,61662.65,61750.47,944.98223,0.0,0.0,0.0,0.0,0.0
1727841600,61750.46,61750.47,61440.0,61495.79,704.31237,0.0,0.0,0.0,0.0,0.0
1727845200,61495.78,61609.3,61350.0,61489.71,661.76897,0.0,0.0,0.0,0.0,0.0
1727848800,61489.71,61788.4,61359.9,61700.01,760.10641,0.0,0.0,0.0,0.0,0.0
1727852400,61700.01,61940.0,61588.78,61727.4,698.17476,0.0,0.0,0.0,0.0,0.0
1727856000,61727.39,61914.34,61603.49,61806.01,535.23837,0.0,0.0,0.0,0.0,0.0
1727859600,61806.01,61817.76,61130.0,61271.25,1082.07393,0.0,0.0,0.0,0.0,0.0
1727863200,61271.24,61555.0,61151.04,61188.28,1005.99847,0.0,0.0,0.0,0.0,0.0
1727866800,61188.27,61380.0,60888.88,61164.01,1204.28505,0.0,0.0,0.0,0.0,0.0
1727870400,61164.01,61220.0,60696.4,60798.8,1274.80586,0.0,0.0,0.0,0.0,0.0
1727874000,60798.8,61460.0,60524.21,61350.0,2508.38932,0.0,0.0,0.0,0.0,0.0
1727877600,61350.0,61672.0,61047.16,61077.78,2267.56057,0.0,0.0,0.0,0.0,0.0
1727881200,61077.77,61926.9,61059.9,61874.01,1514.52104,0.0,0.0,0.0,0.0,0.0
1727884800,61874.01,62390.31,61779.87,61800.0,1555.81954,0.0,0.0,0.0,0.0,0.0
1727888400,61800.01,61835.99,61242.0,61628.01,1115.92104,0.0,0.0,0.0,0.0,0.0
1727892000,61628.01,61691.0,60762.09,60762.09,1403.72059,0.0,0.0,0.0,0.0,0.0
1727895600,60762.1,60926.0,60000.0,60190.01,3854.05654,0.0,0.0,0.0,0.0,0.0
1727899200,60190.01,60999.24,60128.0,60924.0,3301.59077,0.0,0.0,0.0,0.0,0.0
1727902800,60923.99,60952.0,60656.0,60831.99,607.84007,0.0,0.0,0.0,0.0,0.0
1727906400,60832.0,60851.75,60438.0,60851.74,678.65953,0.0,0.0,0.0,0.0,0.0
1727910000,60851.74,60869.56,60622.0,60649.28,510.97556,0.0,0.0,0.0,0.0,0.0
1727913600,60649.27,61105.0,60536.0,60988.01,1646.41886,0.0,0.0,0.0,0.0,0.0
1727917200,60988.01,61183.76,60919.9,61024.0,834.87326,0.0,0.0,0.0,0.0,0.0
1727920800,61024.0,61274.0,60987.0,61185.17,502.78816,0.0,0.0,0.0,0.0,0.0
1727924400,61185.18,61464.0,61092.0,61463.99,673.23178,0.0,0.0,0.0,0.0,0.0
1727928000,61464.0,61477.19,61276.31,61326.0,571.45959,0.0,0.0,0.0,0.0,0.0
1727931600,61326.0,61360.0,61100.0,61176.01,702.22305,0.0,0.0,0.0,0.0,0.0
1727935200,61176.0,61418.42,61106.01,61334.01,618.19443,0.0,0.0,0.0,0.0,0.0
1727938800,61334.0,61424.25,60814.12,60926.0,1459.32009,0.0,0.0,0.0,0.0,0.0
1727942400,60926.0,60978.0,60138.0,60354.0,1805.58584,0.0,0.0,0.0,0.0,0.0
1727946000,60354.0,60765.33,60126.56,60720.48,984.32204,0.0,0.0,0.0,0.0,0.0
1727949600,60720.48,61036.0,60648.0,61025.98,738.07634,0.0,0.0,0.0,0.0,0.0
1727953200,61025.98,61070.47,60594.0,60764.74,879.13477,0.0,0.0,0.0,0.0,0.0
1727956800,60764.73,60770.0,60372.12,60469.95,1231.76196,0.0,0.0,0.0,0.0,0.0
1727960400,60469.95,60583.99,59828.11,60382.05,2876.5955,0.0,0.0,0.0,0.0,0.0
1727964000,60382.06,60900.0,60100.0,60172.01,2862.27532,0.0,0.0,0.0,0.0,0.0
