ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1704067200,42000.00,42150.00,41900.00,42100.00,1500,0.00010,0.00005,0.5,0.0001,1000000
1704067500,42100.00,42200.00,42000.00,42150.00,1200,0.00010,0.00005,0.6,0.0001,1010000
1704067800,42150.00,42350.00,42100.00,42300.00,1800,0.00012,0.00005,0.8,0.0001,1025000
1704068100,42300.00,42500.00,42250.00,42450.00,2200,0.00015,0.00006,1.2,0.0002,1050000
1704068400,42450.00,42700.00,42400.00,42650.00,2800,0.00020,0.00007,1.8,0.0003,1080000
1704068700,42650.00,42900.00,42600.00,42850.00,3200,0.00025,0.00008,2.5,0.0004,1120000
1704069000,42850.00,43100.00,42800.00,43000.00,3500,0.00030,0.00009,3.2,0.0005,1150000
1704069300,43000.00,43200.00,42900.00,43100.00,3000,0.00028,0.00008,2.8,0.0004,1130000
1704069600,43100.00,43150.00,42850.00,42900.00,2800,0.00022,0.00007,2.2,0.0003,1100000
1704069900,42900.00,42950.00,42650.00,42700.00,2500,0.00018,0.00006,1.8,0.0002,1070000
1704070200,42700.00,42750.00,42450.00,42500.00,2200,0.00015,0.00005,1.5,0.0002,1040000
1704070500,42500.00,42550.00,42300.00,42350.00,2000,0.00012,0.00005,1.2,0.0001,1020000
1704070800,42350.00,42400.00,42200.00,42250.00,1800,0.00010,0.00004,1.0,0.0001,1010000
1704071100,42250.00,42350.00,42150.00,42300.00,1600,0.00008,0.00004,0.8,0.0001,1005000
1704071400,42300.00,42450.00,42250.00,42400.00,1700,0.00010,0.00005,0.9,0.0001,1015000
1704071700,42400.00,42600.00,42350.00,42550.00,1900,0.00012,0.00005,1.1,0.0002,1030000
1704072000,42550.00,42750.00,42500.00,42700.00,2100,0.00015,0.00006,1.4,0.0002,1050000
1704072300,42700.00,42950.00,42650.00,42900.00,2400,0.00018,0.00007,1.7,0.0003,1075000
1704072600,42900.00,43150.00,42850.00,43100.00,2700,0.00022,0.00008,2.1,0.0003,1100000
1704072900,43100.00,43400.00,43050.00,43350.00,3100,0.00028,0.00009,2.6,0.0004,1130000
1704073200,43350.00,43600.00,43300.00,43550.00,3400,0.00032,0.00010,3.0,0.0005,1160000
1704073500,43550.00,43700.00,43400.00,43500.00,3000,0.00028,0.00009,2.5,0.0004,1140000
1704073800,43500.00,43550.00,43250.00,43300.00,2700,0.00024,0.00008,2.1,0.0003,1110000
1704074100,43300.00,43350.00,43050.00,43100.00,2400,0.00020,0.00007,1.8,0.0003,1085000
1704074400,43100.00,43150.00,42850.00,42900.00,2200,0.00016,0.00006,1.5,0.0002,1060000
1704074700,42900.00,42950.00,42700.00,42750.00,2000,0.00014,0.00006,1.3,0.0002,1045000
1704075000,42750.00,42850.00,42600.00,42700.00,1800,0.00012,0.00005,1.1,0.0001,1030000
1704075300,42700.00,42800.00,42550.00,42650.00,1700,0.00010,0.00005,1.0,0.0001,1020000
1704075600,42650.00,42750.00,42500.00,42600.00,1600,0.00008,0.00004,0.9,0.0001,1010000
1704075900,42600.00,42700.00,42450.00,42550.00,1500,0.00008,0.00004,0.8,0.0001,1005000
1704076200,42550.00,42650.00,42400.00,42500.00,1400,0.00006,0.00003,0.7,0.0001,1000000
1704076500,42500.00,42600.00,42350.00,42450.00,1350,0.00005,0.00003,0.6,0.0000,995000
1704076800,42450.00,42550.00,42300.00,42400.00,1300,0.00004,0.00003,0.5,0.0000,990000
1704077100,42400.00,42500.00,42250.00,42350.00,1250,0.00003,0.00002,0.4,0.0000,985000
1704077400,42350.00,42450.00,42200.00,42300.00,1200,0.00002,0.00002,0.3,0.0000,980000
1704077700,42300.00,42450.00,42250.00,42400.00,1300,0.00004,0.00003,0.4,0.0001,990000
1704078000,42400.00,42600.00,42350.00,42550.00,1500,0.00008,0.00004,0.6,0.0001,1010000
1704078300,42550.00,42800.00,42500.00,42750.00,1800,0.00012,0.00005,0.9,0.0002,1040000
1704078600,42750.00,43050.00,42700.00,43000.00,2200,0.00018,0.00007,1.3,0.0003,1080000
1704078900,43000.00,43350.00,42950.00,43300.00,2700,0.00025,0.00008,1.8,0.0004,1130000
1704079200,43300.00,43650.00,43250.00,43600.00,3200,0.00032,0.00010,2.4,0.0005,1180000
1704079500,43600.00,43850.00,43500.00,43800.00,3500,0.00038,0.00011,2.9,0.0006,1220000
1704079800,43800.00,44000.00,43650.00,43900.00,3300,0.00035,0.00010,2.6,0.0005,1200000
1704080100,43900.00,43950.00,43600.00,43700.00,3000,0.00030,0.00009,2.2,0.0004,1170000
1704080400,43700.00,43750.00,43400.00,43500.00,2700,0.00025,0.00008,1.9,0.0003,1140000
1704080700,43500.00,43550.00,43200.00,43300.00,2500,0.00022,0.00007,1.6,0.0003,1110000
1704081000,43300.00,43350.00,43050.00,43150.00,2300,0.00018,0.00006,1.4,0.0002,1085000
1704081300,43150.00,43200.00,42900.00,43000.00,2100,0.00015,0.00006,1.2,0.0002,1060000
1704081600,43000.00,43100.00,42800.00,42900.00,1900,0.00012,0.00005,1.0,0.0001,1040000
1704081900,42900.00,43000.00,42700.00,42850.00,1800,0.00010,0.00005,0.9,0.0001,1025000
