ts,open,high,low,close,volume,funding,borrow,liq,depeg,oi
1767862800,90227.25000000,90374.78000000,89956.00000000,90010.00000000,514.04982000,0.0,0.0,0.0,0.0,0.0
1767866400,90009.99000000,90493.18000000,89777.25000000,90410.10000000,526.53398000,0.0,0.0,0.0,0.0,0.0
1767870000,90409.61000000,90487.31000000,90022.26000000,90226.77000000,548.71612000,0.0,0.0,0.0,0.0,0.0
1767873600,90226.77000000,90240.85000000,89781.96000000,89989.21000000,992.96975000,0.0,0.0,0.0,0.0,0.0
1767877200,89989.20000000,90105.08000000,89861.59000000,89962.14000000,441.44929000,0.0,0.0,0.0,0.0,0.0
1767880800,89962.14000000,90171.00000000,89311.00000000,90024.01000000,1521.76403000,0.0,0.0,0.0,0.0,0.0
1767884400,90024.00000000,90847.52000000,89820.89000000,90781.57000000,1428.07575000,0.0,0.0,0.0,0.0,0.0
1767888000,90781.57000000,90926.84000000,90312.89000000,90926.84000000,855.68064000,0.0,0.0,0.0,0.0,0.0
1767891600,90926.84000000,91440.00000000,90842.00000000,91366.39000000,874.20589000,0.0,0.0,0.0,0.0,0.0
1767895200,91366.39000000,91469.00000000,90952.00000000,91117.35000000,517.40477000,0.0,0.0,0.0,0.0,0.0
1767898800,91117.35000000,91333.00000000,90812.98000000,90937.41000000,409.29800000,0.0,0.0,0.0,0.0,0.0
1767902400,90937.42000000,90996.02000000,90568.11000000,90927.62000000,476.53275000,0.0,0.0,0.0,0.0,0.0
1767906000,90927.63000000,91336.63000000,90917.70000000,91272.96000000,629.96765000,0.0,0.0,0.0,0.0,0.0
1767909600,91272.96000000,91493.00000000,91033.11000000,91231.90000000,417.67218000,0.0,0.0,0.0,0.0,0.0
1767913200,91231.89000000,91336.63000000,91046.87000000,91099.99000000,233.87135000,0.0,0.0,0.0,0.0,0.0
1767916800,91100.00000000,91307.72000000,91058.70000000,91290.33000000,179.40576000,0.0,0.0,0.0,0.0,0.0
1767920400,91290.34000000,91632.10000000,90850.00000000,91056.19000000,545.56598000,0.0,0.0,0.0,0.0,0.0
1767924000,91056.20000000,91481.19000000,91023.00000000,91038.38000000,431.10210000,0.0,0.0,0.0,0.0,0.0
1767927600,91038.39000000,91271.73000000,90941.44000000,91220.23000000,417.79460000,0.0,0.0,0.0,0.0,0.0
1767931200,91220.24000000,91236.72000000,90933.30000000,91012.80000000,322.36121000,0.0,0.0,0.0,0.0,0.0
1767934800,91012.81000000,91119.81000000,90882.71000000,91091.82000000,292.21625000,0.0,0.0,0.0,0.0,0.0
1767938400,91091.82000000,91146.47000000,90989.29000000,91137.58000000,209.50276000,0.0,0.0,0.0,0.0,0.0
1767942000,91137.58000000,91137.58000000,90738.34000000,90741.84000000,669.47590000,0.0,0.0,0.0,0.0,0.0
1767945600,90741.85000000,90843.77000000,89694.66000000,90033.52000000,1141.88324000,0.0,0.0,0.0,0.0,0.0
1767949200,90033.52000000,90481.20000000,90014.60000000,90338.46000000,507.45187000,0.0,0.0,0.0,0.0,0.0
1767952800,90338.47000000,90558.01000000,90283.47000000,90485.87000000,396.79277000,0.0,0.0,0.0,0.0,0.0
1767956400,90485.87000000,90691.32000000,90404.21000000,90463.11000000,540.59585000,0.0,0.0,0.0,0.0,0.0
1767960000,90463.12000000,90603.53000000,90235.13000000,90449.23000000,690.17113000,0.0,0.0,0.0,0.0,0.0
1767963600,90449.22000000,90938.62000000,90405.15000000,90607.66000000,722.68305000,0.0,0.0,0.0,0.0,0.0
1767967200,90607.66000000,90666.91000000,89940.00000000,90150.00000000,840.37741000,0.0,0.0,0.0,0.0,0.0
1767970800,90150.01000000,92082.55000000,89850.00000000,91176.47000000,3441.12901000,0.0,0.0,0.0,0.0,0.0
1767974400,91176.48000000,91783.32000000,91175.79000000,91623.89000000,1143.47636000,0.0,0.0,0.0,0.0,0.0
1767978000,91623.89000000,91680.41000000,91012.00000000,91422.23000000,688.89123000,0.0,0.0,0.0,0.0,0.0
1767981600,91422.23000000,91507.82000000,90340.00000000,90820.31000000,551.14415000,0.0,0.0,0.0,0.0,0.0
1767985200,90820.30000000,90820.30000000,90190.00000000,90332.15000000,578.57871000,0.0,0.0,0.0,0.0,0.0
1767988800,90332.14000000,90580.62000000,90235.00000000,90303.36000000,313.31668000,0.0,0.0,0.0,0.0,0.0
1767992400,90303.37000000,90643.81000000,90113.87000000,90541.97000000,207.05117000,0.0,0.0,0.0,0.0,0.0
1767996000,90541.98000000,90723.06000000,90353.91000000,90630.08000000,575.52178000,0.0,0.0,0.0,0.0,0.0
1767999600,90630.08000000,90732.01000000,90604.58000000,90641.28000000,183.79042000,0.0,0.0,0.0,0.0,0.0
1768003200,90641.27000000,90693.89000000,90527.99000000,90600.00000000,151.21516000,0.0,0.0,0.0,0.0,0.0
1768006800,90600.00000000,90732.20000000,90587.00000000,90688.00000000,113.18366000,0.0,0.0,0.0,0.0,0.0
1768010400,90688.00000000,90782.23000000,90607.02000000,90697.17000000,139.70054000,0.0,0.0,0.0,0.0,0.0
1768014000,90697.17000000,90697.18000000,90554.26000000,90626.14000000,124.89032000,0.0,0.0,0.0,0.0,0.0
1768017600,90626.15000000,90649.99000000,90408.23000000,90448.30000000,164.87324000,0.0,0.0,0.0,0.0,0.0
1768021200,90448.30000000,90617.62000000,90431.45000000,90603.52000000,84.41081000,0.0,0.0,0.0,0.0,0.0
1768024800,90603.52000000,90603.53000000,90474.35000000,90505.47000000,74.15884000,0.0,0.0,0.0,0.0,0.0
1768028400,90505.48000000,90682.70000000,90505.47000000,90678.50000000,168.18359000,0.0,0.0,0.0,0.0,0.0
1768032000,90678.50000000,90773.33000000,90618.28000000,90661.95000000,288.33994000,0.0,0.0,0.0,0.0,0.0
1768035600,90661.94000000,90768.97000000,90630.09000000,90768.96000000,158.69299000,0.0,0.0,0.0,0.0,0.0
1768039200,90768.97000000,90832.00000000,90728.45000000,90828.00000000,126.67512000,0.0,0.0,0.0,0.0,0.0
1768042800,90828.00000000,90828.00000000,90708.25000000,90723.86000000,73.68827000,0.0,0.0,0.0,0.0,0.0
1768046400,90723.87000000,90788.78000000,90665.75000000,90733.71000000,94.62022000,0.0,0.0,0.0,0.0,0.0
1768050000,90733.71000000,90772.78000000,90633.86000000,90656.51000000,82.99160000,0.0,0.0,0.0,0.0,0.0
1768053600,90656.52000000,90658.69000000,90538.46000000,90591.01000000,144.35468000,0.0,0.0,0.0,0.0,0.0
1768057200,90591.01000000,90665.76000000,90584.17000000,90665.75000000,92.51513000,0.0,0.0,0.0,0.0,0.0
1768060800,90665.76000000,90725.74000000,90609.56000000,90676.66000000,142.80125000,0.0,0.0,0.0,0.0,0.0
1768064400,90676.66000000,90746.00000000,90544.96000000,90544.96000000,152.86625000,0.0,0.0,0.0,0.0,0.0
1768068000,90544.96000000,90595.63000000,90504.55000000,90595.62000000,158.53961000,0.0,0.0,0.0,0.0,0.0
1768071600,90595.62000000,90631.37000000,90580.61000000,90626.54000000,75.94050000,0.0,0.0,0.0,0.0,0.0
1768075200,90626.54000000,90659.03000000,90571.00000000,90572.86000000,99.38243000,0.0,0.0,0.0,0.0,0.0
1768078800,90572.86000000,90572.86000000,90500.38000000,90510.74000000,144.94285000,0.0,0.0,0.0,0.0,0.0
1768082400,90510.75000000,90600.00000000,90404.00000000,90427.76000000,161.64189000,0.0,0.0,0.0,0.0,0.0
1768086000,90427.76000000,90567.15000000,90427.75000000,90504.70000000,85.50833000,0.0,0.0,0.0,0.0,0.0
1768089600,90504.70000000,90650.75000000,90451.10000000,90640.44000000,114.36360000,0.0,0.0,0.0,0.0,0.0
1768093200,90640.44000000,90675.53000000,90558.95000000,90628.23000000,83.46973000,0.0,0.0,0.0,0.0,0.0
1768096800,90628.24000000,90731.90000000,90615.34000000,90699.00000000,123.06702000,0.0,0.0,0.0,0.0,0.0
1768100400,90699.00000000,90737.95000000,90631.64000000,90733.50000000,142.98004000,0.0,0.0,0.0,0.0,0.0
1768104000,90733.49000000,90785.48000000,90661.53000000,90785.48000000,141.85581000,0.0,0.0,0.0,0.0,0.0
1768107600,90785.48000000,90850.00000000,90740.00000000,90774.43000000,128.06651000,0.0,0.0,0.0,0.0,0.0
1768111200,90774.42000000,90796.83000000,90585.34000000,90744.00000000,169.88277000,0.0,0.0,0.0,0.0,0.0
1768114800,90744.00000000,90749.00000000,90675.52000000,90710.79000000,107.03833000,0.0,0.0,0.0,0.0,0.0
1768118400,90710.80000000,90816.00000000,90610.27000000,90790.01000000,261.70108000,0.0,0.0,0.0,0.0,0.0
1768122000,90790.01000000,90815.44000000,90675.60000000,90740.02000000,180.86038000,0.0,0.0,0.0,0.0,0.0
1768125600,90740.01000000,90740.02000000,90692.79000000,90736.67000000,123.08314000,0.0,0.0,0.0,0.0,0.0
1768129200,90736.66000000,90756.00000000,90695.05000000,90754.99000000,128.73157000,0.0,0.0,0.0,0.0,0.0
1768132800,90754.99000000,91020.00000000,90720.21000000,90938.13000000,211.42505000,0.0,0.0,0.0,0.0,0.0
1768136400,90938.12000000,90972.33000000,90821.47000000,90849.45000000,154.00693000,0.0,0.0,0.0,0.0,0.0
1768140000,90849.45000000,91191.50000000,90849.45000000,91127.16000000,282.45011000,0.0,0.0,0.0,0.0,0.0
1768143600,91127.17000000,91153.99000000,90708.25000000,90875.79000000,496.14604000,0.0,0.0,0.0,0.0,0.0
1768147200,90875.79000000,91283.89000000,90875.79000000,91039.15000000,389.24788000,0.0,0.0,0.0,0.0,0.0
1768150800,91039.14000000,91147.82000000,90904.07000000,90986.68000000,234.85682000,0.0,0.0,0.0,0.0,0.0
1768154400,90986.68000000,90986.69000000,90793.43000000,90886.68000000,177.99755000,0.0,0.0,0.0,0.0,0.0
1768158000,90886.68000000,90922.08000000,90673.30000000,90690.80000000,159.30510000,0.0,0.0,0.0,0.0,0.0
1768161600,90690.81000000,90743.72000000,90370.85000000,90708.26000000,497.31755000,0.0,0.0,0.0,0.0,0.0
1768165200,90708.25000000,90838.69000000,90590.61000000,90757.06000000,217.97309000,0.0,0.0,0.0,0.0,0.0
1768168800,90757.07000000,90757.07000000,90453.36000000,90526.02000000,255.60666000,0.0,0.0,0.0,0.0,0.0
1768172400,90526.01000000,91041.79000000,90236.00000000,91013.65000000,695.70318000,0.0,0.0,0.0,0.0,0.0
1768176000,91013.66000000,91258.66000000,90700.29000000,91258.65000000,740.61830000,0.0,0.0,0.0,0.0,0.0
1768179600,91258.66000000,91799.00000000,91086.00000000,91412.44000000,973.78286000,0.0,0.0,0.0,0.0,0.0
1768183200,91412.44000000,92384.40000000,91374.00000000,92203.56000000,1103.07593000,0.0,0.0,0.0,0.0,0.0
1768186800,92203.56000000,92519.95000000,91808.11000000,91808.12000000,968.99203000,0.0,0.0,0.0,0.0,0.0
1768190400,91808.12000000,92290.81000000,91741.82000000,92175.78000000,651.26560000,0.0,0.0,0.0,0.0,0.0
1768194000,92175.79000000,92267.66000000,92037.51000000,92111.86000000,274.66206000,0.0,0.0,0.0,0.0,0.0
1768197600,92111.87000000,92207.01000000,91805.43000000,91836.34000000,279.64865000,0.0,0.0,0.0,0.0,0.0
1768201200,91836.35000000,91970.00000000,91381.36000000,91408.09000000,500.65720000,0.0,0.0,0.0,0.0,0.0
1768204800,91408.09000000,91630.13000000,90388.89000000,90752.27000000,1298.94335000,0.0,0.0,0.0,0.0,0.0
1768208400,90752.28000000,90942.85000000,90648.15000000,90685.64000000,605.22242000,0.0,0.0,0.0,0.0,0.0
1768212000,90685.65000000,90793.18000000,90370.00000000,90433.46000000,399.68146000,0.0,0.0,0.0,0.0,0.0
1768215600,90433.45000000,90824.86000000,90425.36000000,90620.96000000,457.29481000,0.0,0.0,0.0,0.0,0.0
1768219200,90620.95000000,90863.74000000,90615.66000000,90789.37000000,244.81991000,0.0,0.0,0.0,0.0,0.0
1768222800,90789.37000000,90829.73000000,90538.00000000,90636.01000000,327.61952000,0.0,0.0,0.0,0.0,0.0
1768226400,90636.00000000,91131.39000000,90128.44000000,90908.95000000,1300.15719000,0.0,0.0,0.0,0.0,0.0
1768230000,90908.95000000,91665.00000000,90705.91000000,91665.00000000,1031.47333000,0.0,0.0,0.0,0.0,0.0
1768233600,91664.99000000,92332.00000000,91567.81000000,92123.52000000,1578.09092000,0.0,0.0,0.0,0.0,0.0
1768237200,92123.51000000,92306.62000000,91000.53000000,91522.83000000,1208.45838000,0.0,0.0,0.0,0.0,0.0
1768240800,91522.83000000,91943.26000000,91411.79000000,91691.80000000,505.47425000,0.0,0.0,0.0,0.0,0.0
1768244400,91691.80000000,91880.00000000,91434.80000000,91861.27000000,337.94969000,0.0,0.0,0.0,0.0,0.0
1768248000,91861.27000000,92046.23000000,91417.99000000,91484.86000000,374.00813000,0.0,0.0,0.0,0.0,0.0
1768251600,91484.87000000,91502.37000000,90938.20000000,91055.17000000,398.88227000,0.0,0.0,0.0,0.0,0.0
1768255200,91055.17000000,91441.34000000,91052.21000000,91244.99000000,313.86446000,0.0,0.0,0.0,0.0,0.0
1768258800,91244.99000000,91311.68000000,91059.88000000,91296.20000000,313.43996000,0.0,0.0,0.0,0.0,0.0
1768262400,91296.20000000,91546.08000000,91249.00000000,91482.74000000,334.56358000,0.0,0.0,0.0,0.0,0.0
1768266000,91482.74000000,91546.08000000,91042.66000000,91185.35000000,442.20574000,0.0,0.0,0.0,0.0,0.0
1768269600,91185.34000000,91382.82000000,91097.80000000,91118.30000000,271.94314000,0.0,0.0,0.0,0.0,0.0
1768273200,91118.30000000,91453.45000000,91118.29000000,91408.91000000,263.81213000,0.0,0.0,0.0,0.0,0.0
1768276800,91408.90000000,91650.81000000,91350.71000000,91515.16000000,272.26771000,0.0,0.0,0.0,0.0,0.0
1768280400,91515.17000000,92255.94000000,91472.36000000,91920.99000000,991.25943000,0.0,0.0,0.0,0.0,0.0
1768284000,91921.00000000,92275.38000000,91806.19000000,92184.36000000,600.50125000,0.0,0.0,0.0,0.0,0.0
1768287600,92184.37000000,92212.48000000,91905.33000000,91942.00000000,704.56170000,0.0,0.0,0.0,0.0,0.0
1768291200,91941.99000000,92250.66000000,91924.27000000,92165.90000000,528.98890000,0.0,0.0,0.0,0.0,0.0
1768294800,92165.89000000,92672.11000000,91950.00000000,92269.42000000,1215.58278000,0.0,0.0,0.0,0.0,0.0
1768298400,92269.42000000,92350.03000000,92021.15000000,92128.62000000,394.76711000,0.0,0.0,0.0,0.0,0.0
1768302000,92128.63000000,92261.04000000,91972.44000000,92000.74000000,405.87783000,0.0,0.0,0.0,0.0,0.0
1768305600,92000.73000000,92153.84000000,91910.25000000,92109.35000000,280.96679000,0.0,0.0,0.0,0.0,0.0
1768309200,92109.35000000,92606.42000000,91978.66000000,92076.12000000,1336.20170000,0.0,0.0,0.0,0.0,0.0
1768312800,92076.11000000,92915.12000000,91787.61000000,92462.03000000,1289.79234000,0.0,0.0,0.0,0.0,0.0
1768316400,92462.03000000,93450.00000000,92132.66000000,93449.99000000,1429.93474000,0.0,0.0,0.0,0.0,0.0
1768320000,93449.99000000,93760.00000000,93078.31000000,93389.63000000,1920.24440000,0.0,0.0,0.0,0.0,0.0
1768323600,93389.63000000,93498.72000000,93100.00000000,93241.99000000,796.01222000,0.0,0.0,0.0,0.0,0.0
1768327200,93241.99000000,93871.29000000,93198.09000000,93633.71000000,950.82758000,0.0,0.0,0.0,0.0,0.0
1768330800,93633.71000000,94231.82000000,93475.07000000,94226.84000000,1085.51387000,0.0,0.0,0.0,0.0,0.0
1768334400,94226.85000000,94500.00000000,94113.13000000,94408.70000000,1604.35758000,0.0,0.0,0.0,0.0,0.0
1768338000,94408.70000000,94507.99000000,94062.00000000,94087.23000000,1173.77039000,0.0,0.0,0.0,0.0,0.0
1768341600,94087.23000000,96495.00000000,94087.23000000,95757.21000000,3452.31954000,0.0,0.0,0.0,0.0,0.0
1768345200,95757.19000000,96107.97000000,95055.01000000,95414.00000000,1275.24237000,0.0,0.0,0.0,0.0,0.0
1768348800,95413.99000000,95647.91000000,95154.04000000,95236.84000000,662.80362000,0.0,0.0,0.0,0.0,0.0
1768352400,95236.84000000,95582.00000000,95116.03000000,95245.60000000,749.06956000,0.0,0.0,0.0,0.0,0.0
1768356000,95245.61000000,95562.00000000,95190.06000000,95347.46000000,588.58584000,0.0,0.0,0.0,0.0,0.0
1768359600,95347.47000000,95722.01000000,95285.50000000,95720.99000000,381.44090000,0.0,0.0,0.0,0.0,0.0
1768363200,95720.99000000,95799.22000000,95224.44000000,95245.16000000,460.39311000,0.0,0.0,0.0,0.0,0.0
1768366800,95245.17000000,95270.25000000,94972.00000000,95005.00000000,669.59606000,0.0,0.0,0.0,0.0,0.0
1768370400,95005.01000000,95028.88000000,94559.28000000,95028.87000000,859.31999000,0.0,0.0,0.0,0.0,0.0
1768374000,95028.88000000,95233.99000000,94850.00000000,95205.10000000,884.32504000,0.0,0.0,0.0,0.0,0.0
1768377600,95205.11000000,95315.15000000,94900.00000000,94900.01000000,380.43239000,0.0,0.0,0.0,0.0,0.0
1768381200,94900.01000000,95186.51000000,94870.01000000,95088.24000000,468.07232000,0.0,0.0,0.0,0.0,0.0
1768384800,95088.24000000,95291.98000000,94888.00000000,95091.75000000,526.44388000,0.0,0.0,0.0,0.0,0.0
1768388400,95091.49000000,95091.49000000,94737.95000000,94792.99000000,381.08629000,0.0,0.0,0.0,0.0,0.0
1768392000,94793.00000000,95154.78000000,94680.67000000,95077.56000000,424.37035000,0.0,0.0,0.0,0.0,0.0
1768395600,95077.56000000,95241.70000000,94890.68000000,94998.19000000,454.30020000,0.0,0.0,0.0,0.0,0.0
1768399200,94998.20000000,96827.00000000,94982.56000000,96493.15000000,2348.26402000,0.0,0.0,0.0,0.0,0.0
1768402800,96493.14000000,97084.68000000,96188.25000000,96764.57000000,2804.69067000,0.0,0.0,0.0,0.0,0.0
1768406400,96764.57000000,97693.66000000,96730.77000000,97293.24000000,2448.97546000,0.0,0.0,0.0,0.0,0.0
1768410000,97293.23000000,97777.00000000,96800.00000000,96956.07000000,2017.29615000,0.0,0.0,0.0,0.0,0.0
1768413600,96956.07000000,97110.00000000,96246.56000000,96806.55000000,1150.91366000,0.0,0.0,0.0,0.0,0.0
1768417200,96806.54000000,97640.68000000,96688.36000000,97267.42000000,1063.44638000,0.0,0.0,0.0,0.0,0.0
1768420800,97267.42000000,97924.49000000,97209.25000000,97655.28000000,1157.33493000,0.0,0.0,0.0,0.0,0.0
