ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1769716200,2798.22,2802.87,2793.99,2799.73,1353.6273,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769716500,2799.73,2804.37,2796.77,2797.53,1150.6055,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769716800,2797.53,2799.18,2790.62,2793.36,2269.1425,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769717100,2793.36,2800.16,2790.57,2794.59,1116.3423,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769717400,2794.58,2795.76,2790.65,2791.02,1090.5037,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769717700,2791.03,2804.37,2791.03,2803.36,1596.0733,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769718000,2803.36,2803.36,2799.43,2800.51,701.9165,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769718300,2800.50,2802.28,2795.00,2795.78,1353.2744,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769718600,2795.78,2799.65,2795.54,2796.14,791.4363,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769718900,2796.15,2796.15,2789.39,2793.10,1175.2650,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769719200,2793.10,2801.13,2789.64,2798.37,1571.1665,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769719500,2798.37,2806.56,2795.89,2801.50,1340.8514,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769719800,2801.50,2812.32,2801.38,2803.75,1553.8543,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769720100,2803.71,2808.70,2802.51,2805.85,2645.8856,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769720400,2805.85,2817.09,2805.36,2813.15,2002.5479,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769720700,2813.15,2818.65,2808.82,2818.57,1392.8031,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769721000,2818.57,2819.83,2815.95,2818.20,1330.8121,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769721300,2818.19,2818.19,2813.96,2817.32,1481.1175,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769721600,2817.32,2817.60,2810.00,2810.93,771.4148,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769721900,2810.93,2815.54,2810.06,2814.77,853.5905,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769722200,2814.78,2819.83,2811.58,2813.42,1639.6036,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769722500,2813.41,2819.46,2812.50,2817.31,556.2284,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769722800,2817.31,2818.50,2815.86,2816.49,747.5781,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769723100,2816.49,2825.10,2816.48,2822.87,1326.6417,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769723400,2822.87,2822.87,2817.31,2821.04,1475.4620,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769723700,2821.04,2821.04,2817.60,2819.83,935.0168,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769724000,2819.83,2825.23,2819.83,2824.97,504.0769,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769724300,2824.97,2825.09,2819.90,2820.15,805.5815,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769724600,2820.15,2821.19,2810.55,2812.94,1490.9028,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769724900,2812.94,2815.49,2811.80,2814.30,609.3070,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769725200,2814.30,2814.31,2812.18,2813.71,377.1582,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769725500,2813.72,2815.00,2813.15,2814.99,304.3076,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769725800,2814.99,2818.02,2814.99,2815.24,431.3353,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769726100,2815.23,2815.31,2811.75,2814.70,489.1581,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769726400,2814.70,2817.00,2814.47,2814.84,407.7877,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769726700,2814.84,2819.83,2814.84,2819.82,242.4095,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769727000,2819.83,2820.77,2819.00,2820.76,321.3080,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769727300,2820.77,2821.48,2818.57,2819.95,515.1001,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769727600,2819.96,2823.87,2816.47,2817.12,949.2691,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769727900,2817.12,2821.04,2816.38,2816.39,927.8675,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769728200,2816.38,2816.51,2812.77,2814.84,760.2874,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769728500,2814.84,2818.00,2814.18,2817.54,724.9528,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769728800,2817.54,2820.63,2817.54,2820.30,374.4120,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769729100,2820.29,2824.37,2816.40,2819.95,1292.4956,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769729400,2819.95,2824.74,2819.94,2824.28,710.0683,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769729700,2824.28,2827.59,2824.27,2826.95,699.6666,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769730000,2826.95,2826.95,2823.37,2824.93,518.7820,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769730300,2824.93,2826.78,2822.75,2826.08,394.0467,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769730600,2826.07,2826.36,2822.69,2822.90,1087.0836,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769730900,2822.90,2823.39,2822.59,2822.59,331.8348,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769731200,2822.60,2828.65,2822.59,2828.21,641.2143,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769731500,2828.21,2828.22,2824.05,2825.63,624.6757,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769731800,2825.64,2826.93,2820.28,2820.43,710.9942,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769732100,2820.42,2821.00,2815.50,2815.89,759.5595,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769732400,2815.89,2816.89,2811.55,2812.09,790.2908,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769732700,2812.10,2812.55,2802.58,2807.27,1942.1723,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769733000,2807.27,2811.96,2802.58,2808.22,1864.2485,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769733300,2808.22,2812.04,2807.47,2810.76,463.8614,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769733600,2810.76,2815.03,2810.76,2813.15,732.3976,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769733900,2813.15,2817.19,2812.44,2814.23,917.5990,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769734200,2814.24,2814.24,2804.55,2805.13,1713.4538,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769734500,2805.13,2807.75,2804.55,2805.00,743.7115,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769734800,2805.00,2805.30,2801.68,2804.75,726.6553,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769735100,2804.74,2812.85,2804.74,2811.19,1129.6752,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769735400,2811.18,2811.85,2808.00,2810.76,503.5776,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769735700,2810.75,2813.31,2806.44,2808.68,753.2436,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769736000,2808.69,2810.76,2790.25,2802.78,3376.2661,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769736300,2802.78,2809.05,2800.42,2800.60,954.7572,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769736600,2800.59,2808.44,2795.47,2804.09,941.2149,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769736900,2804.09,2804.43,2761.00,2775.68,8034.3296,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769737200,2775.67,2781.00,2689.00,2725.25,56313.9043,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769737500,2725.25,2735.88,2717.03,2729.12,12767.7767,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769737800,2729.12,2749.01,2729.12,2745.38,9553.2937,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769738100,2745.38,2752.15,2742.22,2747.15,5668.1722,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769738400,2747.16,2751.29,2740.78,2740.78,3283.3481,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769738700,2740.78,2743.35,2730.00,2731.10,5110.0725,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769739000,2731.09,2738.46,2728.55,2729.63,3550.7255,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769739300,2729.86,2736.23,2719.67,2724.66,6335.9740,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769739600,2724.66,2726.40,2705.34,2707.79,6500.6168,-0.00015302,0.00005000,0.5000,0.000000,1000000
1769739900,2707.79,2715.90,2699.16,2715.40,5758.1963,-0.00015302,0.00005000,0.5000,0.000000,1000000
